step,time_s,altitude_m,position_x_m,position_y_m,velocity_z_m_s,speed_m_s,fuel_mass_kg,throttle
208,4.159999999999999,118.21695914719058,0.0,0.0,18.91778006220681,18.91778006220681,790.0655720031996,1.0
209,4.179999999999999,118.59842703250739,0.0,0.0,19.073394265840598,19.073394265840598,790.0155720031996,1.0
210,4.199999999999998,118.98300737865289,0.0,0.0,19.229017307274667,19.229017307274667,789.9655720031997,1.0
211,4.219999999999998,119.37070036239194,0.0,0.0,19.384649186953137,19.384649186953137,789.9155720031997,1.0
212,4.2399999999999975,119.76150616049834,0.0,0.0,19.540289905320158,19.540289905320158,789.8655720031998,1.0
213,4.259999999999997,120.15542494975475,0.0,0.0,19.695939462819915,19.695939462819915,789.8155720031998,1.0
214,4.279999999999997,120.55245690695268,0.0,0.0,19.851597859896625,19.851597859896625,789.7655720031998,1.0
215,4.299999999999996,120.95260220889257,0.0,0.0,20.007265096994544,20.007265096994544,789.7155720031999,1.0
216,4.319999999999996,121.35586103238373,0.0,0.0,20.162941174557954,20.162941174557954,789.6655720031999,1.0
217,4.339999999999995,121.76223355424435,0.0,0.0,20.318626093031178,20.318626093031178,789.6155720032,1.0
218,4.359999999999995,122.17171995130151,0.0,0.0,20.474319852858564,20.474319852858564,789.5655720032,1.0
219,4.379999999999995,122.5843204003912,0.0,0.0,20.630022454484504,20.630022454484504,789.5155720032001,1.0
220,4.399999999999994,123.00003507835828,0.0,0.0,20.785733898353413,20.785733898353413,789.4655720032001,1.0
221,4.419999999999994,123.41886416205648,0.0,0.0,20.941454184909745,20.941454184909745,789.4155720032002,1.0
222,4.439999999999993,123.84080782834845,0.0,0.0,21.097183314597988,21.097183314597988,789.3655720032002,1.0
223,4.459999999999993,124.2658662541057,0.0,0.0,21.252921287862662,21.252921287862662,789.3155720032003,1.0
224,4.479999999999992,124.69403961620867,0.0,0.0,21.40866810514832,21.40866810514832,789.2655720032003,1.0
225,4.499999999999992,125.12532809154666,0.0,0.0,21.564423766899548,21.564423766899548,789.2155720032004,1.0
226,4.519999999999992,125.55973185701788,0.0,0.0,21.720188273560968,21.720188273560968,789.1655720032004,1.0
227,4.539999999999991,125.99725108952943,0.0,0.0,21.875961625577236,21.875961625577236,789.1155720032004,1.0
228,4.559999999999991,126.43788596599728,0.0,0.0,22.03174382339304,22.03174382339304,789.0655720032005,1.0
229,4.57999999999999,126.88163666334634,0.0,0.0,22.1875348674531,22.1875348674531,789.0155720032005,1.0
230,4.59999999999999,127.32850335851039,0.0,0.0,22.343334758202168,22.343334758202168,788.9655720032006,1.0
231,4.6199999999999894,127.77848622843209,0.0,0.0,22.499143496085036,22.499143496085036,788.9155720032006,1.0
232,4.639999999999989,128.23158545006302,0.0,0.0,22.654961081546524,22.654961081546524,788.8655720032007,1.0
233,4.659999999999989,128.68780120036365,0.0,0.0,22.81078751503149,22.81078751503149,788.8155720032007,1.0
234,4.679999999999988,129.14713365630334,0.0,0.0,22.966622796984822,22.966622796984822,788.7655720032008,1.0
235,4.699999999999988,129.60958299486038,0.0,0.0,23.12246692785144,23.12246692785144,788.7155720032008,1.0
236,4.719999999999987,130.0751493930219,0.0,0.0,23.278319908076305,23.278319908076305,788.6655720032009,1.0
237,4.739999999999987,130.543833027784,0.0,0.0,23.434181738104407,23.434181738104407,788.6155720032009,1.0
238,4.7599999999999865,131.0156340761516,0.0,0.0,23.590052418380765,23.590052418380765,788.5655720032009,1.0
239,4.779999999999986,131.49055271513862,0.0,0.0,23.745931949350435,23.745931949350435,788.515572003201,1.0
240,4.799999999999986,131.9685891217678,0.0,0.0,23.901820331458513,23.901820331458513,788.465572003201,1.0
241,4.819999999999985,132.44974347307078,0.0,0.0,24.05771756515012,24.05771756515012,788.4155720032011,1.0
